start_date,age,gender,gender_spec,location,education,ccd01,ccd02,ccd03,ccd04,ccd05,ccd06,ccd07,ccd08,ccd09,ccd10,ccd11,ccd12,ccd13,ccd14,ccd15,ccd16,ccd17,ccd18,trust01,trust02,trust03,trust04,trust05,trust06,trust07,trust08,trust09,trust10,trust11,trust12,trust13,trust14,asc01,asc02,asc03,asc04,asc05,asc06,asc07,asc08,asc09,asc10,asc11,asc12,asc13,asc14,asc15,asc16,asc17,asc18,sdo01,sdo02,sdo03,sdo04,sdo05,sdo06,sdo07,sdo08,lib_cons,cons01,cons02,cons03,cons04,cons05,cons06,cons07,cons08,cons09,cons10,cons11,cons12,cons13,cons14,cons15,feedback
21/08/2018 13:51,36,1,NA,9,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,2,1,1,2,3,2,2,5,6,3,6,6,5,5,5,6,5,7,3,2,6,3,6,6,2,6,5,3,3,5,3,2,6,6,5,3,6,7,3,1,7,7,2,2,6,2,1,1,1,4,2,1,1,1,2,2,1,1,1,5,NA
21/08/2018 13:50,20,2,NA,3,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,3,3,5,1,4,5,4,4,5,4,4,4,3,2,5,5,6,5,3,4,6,4,2,2,5,6,3,4,3,2,2,4,2,2,3,1,3,4,2,3,2,5,NA
21/08/2018 13:57,35,1,NA,4,5,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,6,4,5,6,7,1,1,7,7,2,2,1,5,6,5,1,4,4,4,4,4,4,4,4,4,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,NA
21/08/2018 13:49,37,2,NA,3,6,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,6,6,6,2,5,6,6,5,2,2,6,6,6,2,1,1,7,7,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,None
21/08/2018 13:51,24,1,NA,1,5,2,2,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,7,4,7,7,2,6,5,3,6,5,1,1,1,7,7,1,1,1,7,7,1,1,7,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Great study. Very well-designed.
21/08/2018 13:50,28,1,NA,8,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,6,1,7,6,7,1,2,6,6,6,3,3,6,6,6,3,1,1,7,7,1,1,7,7,2,3,4,2,1,3,2,4,4,2,4,3,4,2,2,4,NA
21/08/2018 14:19,26,1,NA,7,5,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,4,2,3,5,4,3,5,4,2,5,4,2,4,3,6,5,6,7,5,6,6,4,5,7,6,5,5,4,6,5,5,6,6,4,5,7,6,4,5,6,2,5,3,4,5,4,4,3,5,4,3,4,3,5,4,5,no
21/08/2018 14:23,33,2,NA,8,5,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,4,6,6,7,1,1,7,7,1,1,1,7,7,7,1,1,1,7,7,1,1,7,7,1,2,1,2,1,1,1,1,2,1,2,2,1,1,1,4,NA
21/08/2018 14:24,26,1,NA,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,2,1,2,2,2,1,2,3,3,1,4,2,4,4,4,4,3,4,4,2,6,4,6,7,5,4,2,1,NA,4,1,1,6,6,7,2,1,1,7,7,1,1,7,7,2,3,2,1,1,1,2,2,1,1,4,3,2,1,1,4,NA
21/08/2018 14:30,33,2,NA,5,4,1,1,1,1,2,1,1,2,1,2,2,1,2,2,2,1,1,2,2,2,2,3,2,2,4,4,5,5,4,4,3,5,3,2,6,3,7,6,3,5,3,2,2,6,2,2,7,7,7,2,3,2,5,6,6,7,1,2,4,4,5,2,5,5,4,5,2,4,5,4,5,2,5,5,NA
